receiver_player_id,receiver_player_name,targets,Receptions,AirYards,ReceivingYards,completeAirYards,Touchdowns,expReceptions,expCompAirYards,PPR_points
00-0032813,E.Penny,3,2,-16,9,-13,0,2.7166502428419674,-14.527037602708242,2.9
00-0033471,I.Ford,3,2,6,9,3,0,2.2670377655480336,3.873969171824339,2.9
00-0035399,S.Morgan,3,2,6,9,1,0,1.9815406723582094,4.083009891320868,2.9
00-0033296,A.Armah,2,2,-1,6,-1,0,1.6243944771239769,-1.108589646528423,2.6
00-0028074,A.Sherman,2,1,7,15,-4,0,1.4970890904711243,3.6498948282530375,2.5
00-0032972,D.Booker,1,1,4,14,4,0,0.7512370629427295,3.004948251770918,2.4000000000000004
00-0035217,B.Snell,2,1,-5,14,-2,0,1.6555478890030804,-4.143010550591566,2.4000000000000004
00-0030741,R.Nix,3,2,2,4,-5,0,2.276208543650371,0.3302898601710029,2.4
00-0034386,J.Watson,1,1,13,13,13,0,0.6151642522397004,7.9971352791161054,2.3
00-0035025,H.Hentges,1,1,-4,13,-4,0,0.854539011128622,-3.418156044514488,2.3
00-0033696,S.Culkin,2,1,19,12,12,0,1.2637849209238787,11.99062920661035,2.2
00-0034613,T.Hudson,3,1,41,12,12,0,1.6459041216234842,21.644449078876494,2.2
00-0035148,D.Thompson,2,2,-2,2,-2,0,1.3933398398240189,-1.6186716043394518,2.2
00-0033132,K.Byard,1,1,3,11,3,0,0.7184135275691725,2.155240582707518,2.1
00-0033421,A.Auclair,3,1,2,11,3,0,2.40854725736728,0.7836939254825719,2.1
00-0033530,R.Davis,1,1,11,11,11,0,0.5768108266683718,6.34491909335209,2.1
00-0031806,M.Brown,2,1,9,10,6,0,1.4208256787146791,6.412605432324402,2
00-0034854,K.Hodge,1,1,7,10,7,0,0.7006972215693695,4.904880550985586,2
00-0034959,A.Beck,3,1,4,10,7,0,2.1166160318090688,1.9060695217666095,2
00-0033382,A.Carr,4,1,45,9,9,0,2.374897032527727,26.391678115680264,1.9
00-0031023,Q.Enunwa,3,1,35,8,0,0,1.551663533480954,16.233771482088983,1.8
00-0031511,D.White,1,1,5,8,5,0,0.7335332382663814,3.667666191331907,1.8
00-0028114,D.Harris,1,1,0,7,0,0,0.6354459760804754,0,1.7000000000000002
00-0027691,A.Roberts,2,1,51,6,5,0,1.0838603552113328,19.782713570799668,1.6
00-0031060,D.Thomas,2,1,-1,6,3,0,1.5872498529457428,-1.3201047187987633,1.6
00-0032450,D.Washington,1,1,-5,6,-5,0,0.8912526501683081,-4.45626325084154,1.6
00-0034383,D.Schultz,1,1,5,6,5,0,0.682091299840199,3.410456499200995,1.6
00-0034414,B.Scott,1,1,-6,5,-6,0,0.8988979961473847,-5.393387976884308,1.5
00-0035726,Jak.Johnson,2,1,7,5,4,0,1.3896140235898233,4.854339881038069,1.5
00-0030465,K.Barner,2,1,4,4,4,0,1.3352411005970226,2.7991804980661885,1.4
00-0031035,X.Grimble,3,1,9,3,1,0,2.260811403493021,6.768233781149398,1.3
00-0033789,T.Logan,1,1,1,2,1,0,0.8097792160337446,0.8097792160337446,1.2
00-0034115,J.Wilson,2,1,-2,2,2,0,1.643923577440383,-2.23382242793575,1.2
00-0031690,E.Tomlinson,1,1,0,1,0,0,0.584004037654293,0,1.1
00-0035181,D.Shepherd,1,1,-2,1,-2,0,0.8093358021697259,-1.6186716043394518,1.1
00-0035686,M.Deiter,1,1,0,0,0,0,0.6354459760804754,0,1
00-0035235,K.McGary,1,1,-3,-3,-3,0,0.831914772585406,-2.495744317756218,0.7
00-0027973,A.Dalton,1,1,-8,-4,-8,0,0.9402942621224055,-7.522354096979244,0.6
00-0028064,B.Powell,1,0,19,0,0,0,0.46417912608504053,8.81940339561577,0
00-0028118,T.Taylor,1,0,-4,0,0,0,0.854539011128622,-3.418156044514488,0
00-0029492,J.Olawale,1,0,37,0,0,0,0.28361561644461497,10.493777808450753,0
00-0030968,K.Smith,1,0,-4,0,0,0,0.854539011128622,-3.418156044514488,0
00-0031585,M.Pruitt,2,0,5,0,0,0,1.2517980232465438,3.410456499200995,0
00-0032139,B.Koyack,1,0,-1,0,0,0,0.8013313397804773,-0.8013313397804773,0
00-0032935,J.Holton,5,0,159,0,0,0,2.019236968817779,53.289089680237396,0
00-0033114,M.Thomas,1,0,14,0,0,0,0.5500078938145441,7.700110513403617,0
00-0033246,J.Mundt,1,0,0,0,0,0,0.584004037654293,0,0
00-0033258,D.Daniels,1,0,3,0,0,0,0.7698554659953549,2.309566397986065,0
00-0033911,T.Taylor,1,0,33,0,0,0,0.3109190727794149,10.260329401720691,0
00-0034052,B.Zylstra,1,0,16,0,0,0,0.5220884857773753,8.353415772438005,0
00-0034081,S.Mitchell,1,0,15,0,0,0,0.5218539944741334,7.827809917112001,0
00-0034365,I.Thomas,2,0,-1,0,0,0,1.567673079777288,-0.8603343267318896,0
00-0034510,R.Foster,5,0,173,0,0,0,1.885003784185869,58.74804157835912,0
00-0035039,S.Carlson,1,0,21,0,0,0,0.44857536934998754,9.42008275634974,0
00-0035406,L.Humphrey,1,0,15,0,0,0,0.5218539944741334,7.827809917112001,0
