full_player_name,team,position,Yards,Receptions,Touchdowns,FirstDowns,HalfPPR,HalfPPR_PPFD,PosRank
Baker Mayfield,CLE,QB,145,0,0,8,14.5,18.5,29
Josh Rosen,ARI,QB,145,0,0,8,14.500000000000002,18.5,29
Corey Grant,JAX,RB,107,9,0,6,15.200000000000001,18.2,95
Matthew Stafford,DET,QB,80,0,1,8,14,18,31
Ronald Jones,TB,RB,75,5,1,4,16,18,96
J.J. Nelson,ARI,WR,64,7,1,4,15.9,17.900000000000002,157
Derek Carrier,OAK,TE,67,7,1,3,16.2,17.7,73
Luke Willson,DET,TE,87,13,0,5,15.200000000000001,17.7,73
Seth DeValve,CLE,TE,74,5,1,3,15.9,17.400000000000002,75
C.J. Ham,MIN,FB,93,11,0,5,14.8,17.3,5
Robert Tonyan,GB,TE,77,4,1,3,15.700000000000001,17.2,76
Brice Butler,MIA,WR,60,6,1,4,15,17,158
NA,NA,NA,105,9,0,4,15,17,2
Niles Paul,JAX,TE,95,10,0,5,14.5,17,77
Cody Kessler,JAX,QB,124,0,0,9,12.4,16.900000000000002,32
DeAndre Washington,OAK,RB,124,1,0,8,12.9,16.900000000000002,97
Jermaine Gresham,ARI,TE,94,9,0,6,13.9,16.9,78
Darius Jennings,TEN,WR,103,11,0,2,15.8,16.8,159
Darrel Williams,KC,RB,71,3,1,4,14.6,16.599999999999998,98
Eli Rogers,PIT,WR,77,12,0,5,13.700000000000001,16.2,160
Alex Armah,CAR,FB,20,1,2,3,14.5,16,6
Carson Wentz,PHI,QB,105,1,0,10,11,16,33
Tommylee Lewis,NO,WR,70,3,1,3,14.5,16,161
C.J. Beathard,SF,QB,69,0,1,6,12.9,15.9,34
Logan Thomas,BUF,TE,77,12,0,3,13.700000000000001,15.200000000000001,79
Darren Waller,OAK,TE,96,6,0,5,12.6,15.100000000000001,80
Durham Smythe,MIA,TE,50,6,1,2,14,15,81
Adam Shaheen,CHI,TE,48,5,1,3,13.3,14.8,82
John Kelly,LA,RB,101,2,0,7,11.100000000000001,14.600000000000001,99
Jake Butt,DEN,TE,85,8,0,4,12.500000000000002,14.500000000000002,83
Willie Snead,BAL,WR,49,4,1,3,12.9,14.4,162
