QB,RB,RB,WR,WR,WR,TE,DST,FLEX,Proj
Tom Brady ($6500),Alvin Kamara ($7200),Ronald Jones II ($5200),Chris Godwin ($7100),Adam Thielen ($6700),DK Metcalf ($5800),Irv Smith Jr. ($3100),Raiders ($2600),T.Y. Hilton ($5800),137
Tom Brady ($6500),Alvin Kamara ($7200),Ronald Jones II ($5200),Michael Thomas ($9000),Davante Adams ($7300),Kenny Golladay ($6200),Mo Alie-Cox ($2600),Jets ($2100),Parris Campbell ($3900),137
Kirk Cousins ($5700),Christian McCaffrey ($10000),Antonio Gibson ($4000),Davante Adams ($7300),Adam Thielen ($6700),DK Metcalf ($5800),Irv Smith Jr. ($3100),Cardinals ($2100),Marquise Brown ($5100),137
Matt Ryan ($6700),Dalvin Cook ($7900),Joe Mixon ($6700),Davante Adams ($7300),T.Y. Hilton ($5800),Terry McLaurin ($5600),Robert Tonyan ($2500),Raiders ($2600),Allen Lazard ($4900),136.8
Cam Newton ($6100),Dalvin Cook ($7900),Alvin Kamara ($7200),DeVante Parker ($6000),T.Y. Hilton ($5800),Preston Williams ($4500),Mark Andrews ($6000),Cardinals ($2100),N'Keal Harry ($4400),136.7
Cam Newton ($6100),Christian McCaffrey ($10000),Miles Sanders ($6300),Adam Thielen ($6700),Terry McLaurin ($5600),Henry Ruggs III ($5100),Ian Thomas ($3400),Jets ($2100),Robby Anderson ($4700),136.7
Mitchell Trubisky ($5400),Christian McCaffrey ($10000),Alvin Kamara ($7200),Kenny Golladay ($6200),DK Metcalf ($5800),T.Y. Hilton ($5800),T.J. Hockenson ($4200),WAS Football Team ($2000),Cordarrelle Patterson ($3400),136.7
Matt Ryan ($6700),Alvin Kamara ($7200),Antonio Gibson ($4000),Michael Thomas ($9000),Davante Adams ($7300),Terry McLaurin ($5600),Logan Thomas ($2800),Lions ($2700),Steven Sims Jr. ($4700),136.7
Philip Rivers ($6000),Alvin Kamara ($7200),Joe Mixon ($6700),Davante Adams ($7300),Adam Thielen ($6700),T.Y. Hilton ($5800),Tyler Eifert ($3300),Ravens ($3100),Parris Campbell ($3900),136.6
Tyrod Taylor ($5600),Josh Jacobs ($6800),Mark Ingram II ($5500),Davante Adams ($7300),Odell Beckham Jr. ($5900),T.Y. Hilton ($5800),Mark Andrews ($6000),Dolphins ($2000),Marquise Brown ($5100),136.5
Matt Ryan ($6700),Christian McCaffrey ($10000),Todd Gurley II ($6100),Calvin Ridley ($6100),DK Metcalf ($5800),DeSean Jackson ($4900),Hayden Hurst ($4300),Lions ($2700),Dontrelle Inman ($3400),136.5
Kirk Cousins ($5700),Dalvin Cook ($7900),Miles Sanders ($6300),Adam Thielen ($6700),Calvin Ridley ($6100),T.Y. Hilton ($5800),Kyle Rudolph ($3700),Lions ($2700),Marquise Brown ($5100),136.4
Aaron Rodgers ($6300),Dalvin Cook ($7900),Todd Gurley II ($6100),Adam Thielen ($6700),Kenny Golladay ($6200),Calvin Ridley ($6100),Irv Smith Jr. ($3100),Raiders ($2600),DeSean Jackson ($4900),136.4
Lamar Jackson ($8100),Alvin Kamara ($7200),Antonio Gibson ($4000),Chris Godwin ($7100),Kenny Golladay ($6200),DeSean Jackson ($4900),Dallas Goedert ($4100),Bills ($3700),Steven Sims Jr. ($4700),136.3
Carson Wentz ($6300),Christian McCaffrey ($10000),Todd Gurley II ($6100),Davante Adams ($7300),Adam Thielen ($6700),Allen Lazard ($4900),Robert Tonyan ($2500),Patriots ($3200),Chris Thompson ($3000),136.3
Jimmy Garoppolo ($5800),Christian McCaffrey ($10000),Joe Mixon ($6700),T.Y. Hilton ($5800),DeSean Jackson ($4900),Larry Fitzgerald ($4500),George Kittle ($7200),Dolphins ($2000),Chris Thompson ($3000),136.3
Tyrod Taylor ($5600),Austin Ekeler ($7000),Joe Mixon ($6700),Kenny Golladay ($6200),T.Y. Hilton ($5800),A.J. Green ($5700),Zach Ertz ($5800),Jets ($2100),Marquise Brown ($5100),136.2
Tom Brady ($6500),Dalvin Cook ($7900),Josh Jacobs ($6800),Davante Adams ($7300),DK Metcalf ($5800),DeSean Jackson ($4900),Irv Smith Jr. ($3100),Lions ($2700),Allen Lazard ($4900),136.1
Tyrod Taylor ($5600),Christian McCaffrey ($10000),Josh Jacobs ($6800),Davante Adams ($7300),DeSean Jackson ($4900),Steven Sims Jr. ($4700),Dallas Goedert ($4100),Patriots ($3200),Dontrelle Inman ($3400),136.1
Lamar Jackson ($8100),Dalvin Cook ($7900),Alvin Kamara ($7200),T.Y. Hilton ($5800),Chris Conley ($4000),Parris Campbell ($3900),Jack Doyle ($3600),Lions ($2700),Josh Jacobs ($6800),136.1
Lamar Jackson ($8100),Josh Jacobs ($6800),Joe Mixon ($6700),Jarvis Landry ($5900),Terry McLaurin ($5600),Marquise Brown ($5100),Mark Andrews ($6000),Seahawks ($2400),Dontrelle Inman ($3400),136
Drew Brees ($6800),Alvin Kamara ($7200),Ronald Jones II ($5200),Davante Adams ($7300),Chris Godwin ($7100),Calvin Ridley ($6100),Tyler Eifert ($3300),Cardinals ($2100),DeSean Jackson ($4900),136
Mitchell Trubisky ($5400),Dalvin Cook ($7900),Miles Sanders ($6300),Davante Adams ($7300),Kenny Golladay ($6200),Marvin Jones Jr. ($5500),Zach Ertz ($5800),Jets ($2100),Cordarrelle Patterson ($3400),135.9
Russell Wilson ($7000),Alvin Kamara ($7200),Tevin Coleman ($4200),Adam Thielen ($6700),Tyler Lockett ($6500),DK Metcalf ($5800),Hayden Hurst ($4300),Patriots ($3200),Marquise Brown ($5100),135.9
Drew Brees ($6800),Alvin Kamara ($7200),Miles Sanders ($6300),Chris Godwin ($7100),Kenny Golladay ($6200),Terry McLaurin ($5600),O.J. Howard ($3700),Ravens ($3100),Parris Campbell ($3900),135.9
Cam Newton ($6100),Dalvin Cook ($7900),Antonio Gibson ($4000),Julio Jones ($7700),Tyler Lockett ($6500),DK Metcalf ($5800),Hayden Hurst ($4300),Jets ($2100),Terry McLaurin ($5600),135.9
Carson Wentz ($6300),Christian McCaffrey ($10000),Josh Jacobs ($6800),DK Metcalf ($5800),Terry McLaurin ($5600),Marquise Brown ($5100),Logan Thomas ($2800),Chargers ($2800),Steven Sims Jr. ($4700),135.9
Lamar Jackson ($8100),Christian McCaffrey ($10000),Antonio Gibson ($4000),DJ Moore ($6600),Calvin Ridley ($6100),Marquise Brown ($5100),Ian Thomas ($3400),Jets ($2100),Curtis Samuel ($4600),135.8
Lamar Jackson ($8100),Dalvin Cook ($7900),Alvin Kamara ($7200),Adam Thielen ($6700),Kenny Golladay ($6200),Allen Lazard ($4900),Logan Thomas ($2800),Cardinals ($2100),Marquez Valdes-Scantling ($4100),135.8
Cam Newton ($6100),Christian McCaffrey ($10000),Todd Gurley II ($6100),Julian Edelman ($6000),DeSean Jackson ($4900),Preston Williams ($4500),Zach Ertz ($5800),Jets ($2100),N'Keal Harry ($4400),135.7
Tom Brady ($6500),Christian McCaffrey ($10000),Antonio Gibson ($4000),Adam Thielen ($6700),T.Y. Hilton ($5800),Steven Sims Jr. ($4700),Zach Ertz ($5800),Ravens ($3100),Dontrelle Inman ($3400),135.6
Drew Brees ($6800),Alvin Kamara ($7200),Josh Jacobs ($6800),Michael Thomas ($9000),Chris Godwin ($7100),N'Keal Harry ($4400),Irv Smith Jr. ($3100),Jets ($2100),Dontrelle Inman ($3400),135.5
Philip Rivers ($6000),Christian McCaffrey ($10000),Todd Gurley II ($6100),Calvin Ridley ($6100),T.Y. Hilton ($5800),Terry McLaurin ($5600),Jack Doyle ($3600),Chargers ($2800),Parris Campbell ($3900),135.4
Jimmy Garoppolo ($5800),Alvin Kamara ($7200),J.K. Dobbins ($5000),Odell Beckham Jr. ($5900),Jarvis Landry ($5900),T.Y. Hilton ($5800),Mark Andrews ($6000),Lions ($2700),Terry McLaurin ($5600),135.4
Cam Newton ($6100),Christian McCaffrey ($10000),Alvin Kamara ($7200),Mike Evans ($6900),DK Metcalf ($5800),Chris Thompson ($3000),O.J. Howard ($3700),Jets ($2100),Ronald Jones II ($5200),135.4
