QB,RB,RB,WR,WR,WR,TE,DST,FLEX,Proj
Aaron Rodgers ($6300),Joe Mixon ($6700),Antonio Gibson ($4000),Davante Adams ($7300),Adam Thielen ($6700),DeSean Jackson ($4900),George Kittle ($7200),Lions ($2700),Marquez Valdes-Scantling ($4100),132
Baker Mayfield ($5700),Alvin Kamara ($7200),J.K. Dobbins ($5000),Kenny Golladay ($6200),Jarvis Landry ($5900),Marquise Brown ($5100),George Kittle ($7200),Chargers ($2800),DeSean Jackson ($4900),132
Gardner Minshew II ($5800),Dalvin Cook ($7900),Chris Thompson ($4000),Julio Jones ($7700),T.Y. Hilton ($5800),Terry McLaurin ($5600),George Kittle ($7200),Dolphins ($2000),Parris Campbell ($3900),132
Josh Allen ($6500),Alvin Kamara ($7200),Josh Jacobs ($6800),Davante Adams ($7300),Mike Evans ($6900),Tre'Quan Smith ($4000),Logan Thomas ($2800),Patriots ($3200),Ronald Jones II ($5200),132
Russell Wilson ($7000),Christian McCaffrey ($10000),Ryan Nall ($4000),Tyler Lockett ($6500),Kenny Golladay ($6200),DK Metcalf ($5800),Will Dissly ($3400),Jets ($2100),DeSean Jackson ($4900),131.9
Lamar Jackson ($8100),Chris Carson ($6200),J.K. Dobbins ($5000),Tyler Lockett ($6500),Kenny Golladay ($6200),Jarvis Landry ($5900),Mark Andrews ($6000),Dolphins ($2000),Antonio Gibson ($4000),131.9
Mitchell Trubisky ($5400),Alvin Kamara ($7200),Miles Sanders ($6300),Allen Robinson II ($6500),Calvin Ridley ($6100),Odell Beckham Jr. ($5900),T.J. Hockenson ($4200),Chargers ($2800),Marvin Jones Jr. ($5500),131.9
Matt Ryan ($6700),Alvin Kamara ($7200),Ronald Jones II ($5200),Chris Godwin ($7100),Emmanuel Sanders ($5700),Terry McLaurin ($5600),Zach Ertz ($5800),Bills ($3700),Chris Thompson ($3000),131.9
Russell Wilson ($7000),Todd Gurley II ($6100),Antonio Gibson ($4000),Mike Evans ($6900),Terry McLaurin ($5600),DeSean Jackson ($4900),George Kittle ($7200),Patriots ($3200),Steven Sims Jr. ($4700),131.9
Drew Brees ($6800),Alvin Kamara ($7200),Miles Sanders ($6300),Michael Thomas ($9000),Davante Adams ($7300),Tre'Quan Smith ($4000),Robert Tonyan ($2500),Bills ($3700),Damiere Byrd ($3200),131.9
Carson Wentz ($6300),Christian McCaffrey ($10000),Joe Mixon ($6700),Adam Thielen ($6700),DK Metcalf ($5800),Curtis Samuel ($4600),Ian Thomas ($3400),Jaguars ($2300),Bryan Edwards ($4200),131.9
Teddy Bridgewater ($5900),Christian McCaffrey ($10000),Miles Sanders ($6300),Davante Adams ($7300),Kenny Golladay ($6200),Robby Anderson ($4700),Mo Alie-Cox ($2600),Chargers ($2800),Bryan Edwards ($4200),131.9
Drew Brees ($6800),Alvin Kamara ($7200),Josh Jacobs ($6800),Mike Evans ($6900),Calvin Ridley ($6100),Emmanuel Sanders ($5700),Mo Alie-Cox ($2600),Chargers ($2800),Marquise Brown ($5100),131.8
Derek Carr ($5900),Christian McCaffrey ($10000),Miles Sanders ($6300),DJ Moore ($6600),DK Metcalf ($5800),DeSean Jackson ($4900),Irv Smith Jr. ($3100),Patriots ($3200),Bryan Edwards ($4200),131.8
Carson Wentz ($6300),Christian McCaffrey ($10000),Antonio Gibson ($4000),Michael Thomas ($9000),Odell Beckham Jr. ($5900),Steven Sims Jr. ($4700),Dallas Goedert ($4100),Colts ($3000),Chris Thompson ($3000),131.8
Lamar Jackson ($8100),Dalvin Cook ($7900),Alvin Kamara ($7200),Davante Adams ($7300),Julian Edelman ($6000),Preston Williams ($4500),Devin Asiasi ($3500),Jaguars ($2300),Damiere Byrd ($3200),131.8
Matt Ryan ($6700),Alvin Kamara ($7200),Ronald Jones II ($5200),Michael Thomas ($9000),Mike Evans ($6900),Odell Beckham Jr. ($5900),Irv Smith Jr. ($3100),Chargers ($2800),Damiere Byrd ($3200),131.8
Philip Rivers ($6000),Josh Jacobs ($6800),Chris Thompson ($4000),Michael Thomas ($9000),T.Y. Hilton ($5800),Marvin Jones Jr. ($5500),Zach Ertz ($5800),Patriots ($3200),Parris Campbell ($3900),131.8
Drew Brees ($6800),Christian McCaffrey ($10000),Mark Ingram II ($5500),Kenny Golladay ($6200),Odell Beckham Jr. ($5900),Marquise Brown ($5100),Nick Boyle ($3300),Patriots ($3200),Antonio Gibson ($4000),131.8
Russell Wilson ($7000),Miles Sanders ($6300),Boston Scott ($4800),Julio Jones ($7700),Tyler Lockett ($6500),DK Metcalf ($5800),Zach Ertz ($5800),Lions ($2700),Dontrelle Inman ($3400),131.8
Matthew Stafford ($6200),Miles Sanders ($6300),Todd Gurley II ($6100),Michael Thomas ($9000),Kenny Golladay ($6200),T.Y. Hilton ($5800),Jimmy Graham ($3800),Patriots ($3200),Cordarrelle Patterson ($3400),131.7
Lamar Jackson ($8100),Todd Gurley II ($6100),Ronald Jones II ($5200),Adam Thielen ($6700),Tyler Lockett ($6500),Calvin Ridley ($6100),Will Dissly ($3400),Dolphins ($2000),DK Metcalf ($5800),131.7
Carson Wentz ($6300),Alvin Kamara ($7200),Kerryon Johnson ($4400),Julio Jones ($7700),T.Y. Hilton ($5800),DeSean Jackson ($4900),Zach Ertz ($5800),Bills ($3700),Greg Ward ($4200),131.7
Kirk Cousins ($5700),Austin Ekeler ($7000),Boston Scott ($4800),Julio Jones ($7700),Davante Adams ($7300),Adam Thielen ($6700),Robert Tonyan ($2500),Lions ($2700),Terry McLaurin ($5600),131.7
Jimmy Garoppolo ($5800),Dalvin Cook ($7900),Alvin Kamara ($7200),Michael Thomas ($9000),DeAndre Hopkins ($6800),Larry Fitzgerald ($4500),Ian Thomas ($3400),Seahawks ($2400),Chris Thompson ($3000),131.7
Lamar Jackson ($8100),Jonathan Taylor ($5700),Antonio Gibson ($4000),Davante Adams ($7300),Adam Thielen ($6700),T.Y. Hilton ($5800),Kyle Rudolph ($3700),Bills ($3700),Allen Lazard ($4900),131.7
Kyler Murray ($6400),Alvin Kamara ($7200),Todd Gurley II ($6100),Calvin Ridley ($6100),T.Y. Hilton ($5800),Deebo Samuel ($5300),George Kittle ($7200),Lions ($2700),Chris Thompson ($3000),131.6
Matthew Stafford ($6200),Christian McCaffrey ($10000),Todd Gurley II ($6100),Davante Adams ($7300),Terry McLaurin ($5600),Anthony Miller ($5000),T.J. Hockenson ($4200),Cardinals ($2100),Cordarrelle Patterson ($3400),131.6
Cam Newton ($6100),Christian McCaffrey ($10000),Dalvin Cook ($7900),DeSean Jackson ($4900),Greg Ward ($4200),Dontrelle Inman ($3400),George Kittle ($7200),Falcons ($2300),Antonio Gibson ($4000),131.6
Cam Newton ($6100),Dalvin Cook ($7900),James White ($6000),Michael Thomas ($9000),Julian Edelman ($6000),T.Y. Hilton ($5800),Chris Herndon ($3300),Lions ($2700),Damiere Byrd ($3200),131.6
Kirk Cousins ($5700),Christian McCaffrey ($10000),Joe Mixon ($6700),Adam Thielen ($6700),Tyler Lockett ($6500),T.Y. Hilton ($5800),Robert Tonyan ($2500),WAS Football Team ($2000),Olabisi Johnson ($4100),131.6
Philip Rivers ($6000),Christian McCaffrey ($10000),Dalvin Cook ($7900),Kenny Golladay ($6200),DK Metcalf ($5800),Chris Conley ($4000),Mo Alie-Cox ($2600),Eagles ($3600),Parris Campbell ($3900),131.6
Mitchell Trubisky ($5400),Alvin Kamara ($7200),Josh Jacobs ($6800),Adam Thielen ($6700),Allen Robinson II ($6500),Anthony Miller ($5000),Zach Ertz ($5800),Patriots ($3200),Cordarrelle Patterson ($3400),131.6
Matt Ryan ($6700),Miles Sanders ($6300),Antonio Gibson ($4000),Michael Thomas ($9000),Adam Thielen ($6700),Calvin Ridley ($6100),Hayden Hurst ($4300),Raiders ($2600),Russell Gage ($4300),131.6
Drew Brees ($6800),Christian McCaffrey ($10000),Ronald Jones II ($5200),Chris Godwin ($7100),T.Y. Hilton ($5800),Tre'Quan Smith ($4000),Zach Ertz ($5800),Jets ($2100),Damiere Byrd ($3200),131.6
Tom Brady ($6500),Miles Sanders ($6300),Ronald Jones II ($5200),Michael Thomas ($9000),Odell Beckham Jr. ($5900),T.Y. Hilton ($5800),O.J. Howard ($3700),Cardinals ($2100),Marvin Jones Jr. ($5500),131.6
Cam Newton ($6100),Christian McCaffrey ($10000),Miles Sanders ($6300),Julio Jones ($7700),Julian Edelman ($6000),Marquise Brown ($5100),Devin Asiasi ($3500),Cardinals ($2100),Damiere Byrd ($3200),131.6
Cam Newton ($6100),Joe Mixon ($6700),Antonio Gibson ($4000),Michael Thomas ($9000),Kenny Golladay ($6200),DeVante Parker ($6000),Mike Gesicki ($4500),Colts ($3000),Preston Williams ($4500),131.6
Matt Ryan ($6700),Dalvin Cook ($7900),Ronald Jones II ($5200),Tyler Lockett ($6500),Kenny Golladay ($6200),DK Metcalf ($5800),Greg Olsen ($4000),Raiders ($2600),Marquise Brown ($5100),131.6
Tyrod Taylor ($5600),Alvin Kamara ($7200),Joe Mixon ($6700),Adam Thielen ($6700),Keenan Allen ($6400),Calvin Ridley ($6100),Ian Thomas ($3400),Cardinals ($2100),A.J. Green ($5700),131.6
Tom Brady ($6500),Alvin Kamara ($7200),Josh Jacobs ($6800),Adam Thielen ($6700),Marvin Jones Jr. ($5500),Tre'Quan Smith ($4000),Rob Gronkowski ($4900),Jets ($2100),Miles Sanders ($6300),131.6
Matt Ryan ($6700),Austin Ekeler ($7000),Ryan Nall ($4000),Julio Jones ($7700),Adam Thielen ($6700),DK Metcalf ($5800),Hayden Hurst ($4300),WAS Football Team ($2000),T.Y. Hilton ($5800),131.6
Dwayne Haskins Jr. ($5000),Dalvin Cook ($7900),Joe Mixon ($6700),Michael Thomas ($9000),Terry McLaurin ($5600),Steven Sims Jr. ($4700),Dallas Goedert ($4100),Ravens ($3100),Parris Campbell ($3900),131.5
Lamar Jackson ($8100),Dalvin Cook ($7900),Chris Thompson ($4000),Michael Thomas ($9000),Calvin Ridley ($6100),T.Y. Hilton ($5800),Mo Alie-Cox ($2600),Raiders ($2600),Keelan Cole ($3800),131.5
Lamar Jackson ($8100),Josh Jacobs ($6800),Todd Gurley II ($6100),Adam Thielen ($6700),Odell Beckham Jr. ($5900),Miles Boykin ($4100),Mark Andrews ($6000),Jaguars ($2300),Antonio Gibson ($4000),131.5
Tom Brady ($6500),Dalvin Cook ($7900),Tarik Cohen ($4900),Allen Robinson II ($6500),Kenny Golladay ($6200),T.Y. Hilton ($5800),T.J. Hockenson ($4200),Seahawks ($2400),Marvin Jones Jr. ($5500),131.5
Jimmy Garoppolo ($5800),Dalvin Cook ($7900),Antonio Gibson ($4000),Adam Thielen ($6700),Calvin Ridley ($6100),Deebo Samuel ($5300),George Kittle ($7200),Dolphins ($2000),Christian Kirk ($5000),131.5
Matthew Stafford ($6200),Dalvin Cook ($7900),Kerryon Johnson ($4400),Davante Adams ($7300),Adam Thielen ($6700),Allen Lazard ($4900),Zach Ertz ($5800),Falcons ($2300),Preston Williams ($4500),131.5
Cam Newton ($6100),Alvin Kamara ($7200),Josh Jacobs ($6800),DJ Moore ($6600),T.Y. Hilton ($5800),Robby Anderson ($4700),Darren Waller ($5900),Jets ($2100),Curtis Samuel ($4600),131.5
Baker Mayfield ($5700),Alvin Kamara ($7200),Mark Ingram II ($5500),Julio Jones ($7700),DK Metcalf ($5800),Marquise Brown ($5100),Mark Andrews ($6000),Raiders ($2600),N'Keal Harry ($4400),131.5
Lamar Jackson ($8100),Joe Mixon ($6700),Mark Ingram II ($5500),Chris Godwin ($7100),Odell Beckham Jr. ($5900),Marquise Brown ($5100),Ian Thomas ($3400),Bills ($3700),Preston Williams ($4500),131.5
Jimmy Garoppolo ($5800),Christian McCaffrey ($10000),Josh Jacobs ($6800),Tyler Lockett ($6500),Calvin Ridley ($6100),DK Metcalf ($5800),Chris Herndon ($3300),WAS Football Team ($2000),David Moore ($3600),131.5
Jimmy Garoppolo ($5800),Dalvin Cook ($7900),Alvin Kamara ($7200),Chris Godwin ($7100),Mike Evans ($6900),DeSean Jackson ($4900),Irv Smith Jr. ($3100),Ravens ($3100),Scotty Miller ($4000),131.5
Mitchell Trubisky ($5400),Christian McCaffrey ($10000),Todd Gurley II ($6100),Adam Thielen ($6700),Marvin Jones Jr. ($5500),Marquise Brown ($5100),T.J. Hockenson ($4200),Jets ($2100),Danny Amendola ($4800),131.4
Josh Allen ($6500),Christian McCaffrey ($10000),Alvin Kamara ($7200),Henry Ruggs III ($5100),Hunter Renfrow ($4500),Dontrelle Inman ($3400),Ian Thomas ($3400),Ravens ($3100),Joe Mixon ($6700),131.4
Jimmy Garoppolo ($5800),Todd Gurley II ($6100),Jerick McKinnon ($4000),Davante Adams ($7300),Calvin Ridley ($6100),DK Metcalf ($5800),George Kittle ($7200),Patriots ($3200),Larry Fitzgerald ($4500),131.4
Aaron Rodgers ($6300),Dalvin Cook ($7900),Austin Ekeler ($7000),Davante Adams ($7300),Chris Godwin ($7100),Odell Beckham Jr. ($5900),Robert Tonyan ($2500),Dolphins ($2000),Parris Campbell ($3900),131.4
Ryan Fitzpatrick ($5300),Christian McCaffrey ($10000),Dalvin Cook ($7900),Calvin Ridley ($6100),N'Keal Harry ($4400),Damiere Byrd ($3200),Mark Andrews ($6000),Jets ($2100),Matt Breida ($5000),131.4
Tom Brady ($6500),Christian McCaffrey ($10000),Dalvin Cook ($7900),Adam Thielen ($6700),DeSean Jackson ($4900),Marquez Valdes-Scantling ($4100),Kyle Rudolph ($3700),Colts ($3000),Chris Thompson ($3000),131.4
Matt Ryan ($6700),Alvin Kamara ($7200),Kerryon Johnson ($4400),Chris Godwin ($7100),Mike Evans ($6900),Kenny Golladay ($6200),Josh Hill ($2800),Raiders ($2600),Calvin Ridley ($6100),131.4
Lamar Jackson ($8100),Alvin Kamara ($7200),Austin Ekeler ($7000),Davante Adams ($7300),DK Metcalf ($5800),Allen Lazard ($4900),Robert Tonyan ($2500),Colts ($3000),Olabisi Johnson ($4100),131.4
Derek Carr ($5900),Christian McCaffrey ($10000),Chris Carson ($6200),Davante Adams ($7300),Robby Anderson ($4700),Curtis Samuel ($4600),Zach Ertz ($5800),Jets ($2100),Dontrelle Inman ($3400),131.4
Kyler Murray ($6400),Christian McCaffrey ($10000),Alvin Kamara ($7200),DeAndre Hopkins ($6800),Christian Kirk ($5000),Chris Thompson ($3000),Tyler Eifert ($3300),Dolphins ($2000),Miles Sanders ($6300),131.3
Kirk Cousins ($5700),Alvin Kamara ($7200),Joe Mixon ($6700),Julio Jones ($7700),Adam Thielen ($6700),Marquez Valdes-Scantling ($4100),Irv Smith Jr. ($3100),Jets ($2100),Todd Gurley II ($6100),131.3
Teddy Bridgewater ($5900),Dalvin Cook ($7900),Miles Sanders ($6300),Chris Godwin ($7100),DJ Moore ($6600),Kenny Golladay ($6200),Ian Thomas ($3400),Dolphins ($2000),Curtis Samuel ($4600),131.3
Mitchell Trubisky ($5400),Joe Mixon ($6700),J.K. Dobbins ($5000),Kenny Golladay ($6200),T.Y. Hilton ($5800),Marvin Jones Jr. ($5500),George Kittle ($7200),Patriots ($3200),Anthony Miller ($5000),131.3
Lamar Jackson ($8100),Joe Mixon ($6700),Tevin Coleman ($4200),Julio Jones ($7700),Tyler Lockett ($6500),Calvin Ridley ($6100),Hayden Hurst ($4300),WAS Football Team ($2000),N'Keal Harry ($4400),131.3
Baker Mayfield ($5700),Marlon Mack ($5300),Tevin Coleman ($4200),Michael Thomas ($9000),Odell Beckham Jr. ($5900),Terry McLaurin ($5600),Mark Andrews ($6000),Patriots ($3200),Marquise Brown ($5100),131.3
Lamar Jackson ($8100),Miles Sanders ($6300),J.K. Dobbins ($5000),Odell Beckham Jr. ($5900),DK Metcalf ($5800),Terry McLaurin ($5600),Austin Hooper ($5100),Raiders ($2600),Marvin Jones Jr. ($5500),131.3
Cam Newton ($6100),Christian McCaffrey ($10000),Joe Mixon ($6700),DJ Moore ($6600),Henry Ruggs III ($5100),DeSean Jackson ($4900),Tyler Eifert ($3300),Lions ($2700),Curtis Samuel ($4600),131.3
Josh Allen ($6500),Christian McCaffrey ($10000),Todd Gurley II ($6100),Stefon Diggs ($6400),John Brown ($5600),Marquise Brown ($5100),Chris Herndon ($3300),Cardinals ($2100),DeSean Jackson ($4900),131.2
Jimmy Garoppolo ($5800),Miles Sanders ($6300),Jerick McKinnon ($4000),Kenny Golladay ($6200),T.Y. Hilton ($5800),Terry McLaurin ($5600),George Kittle ($7200),Bills ($3700),Deebo Samuel ($5300),131.2
Lamar Jackson ($8100),Alvin Kamara ($7200),Chris Carson ($6200),DJ Moore ($6600),Terry McLaurin ($5600),Robby Anderson ($4700),Ian Thomas ($3400),Bills ($3700),Hunter Renfrow ($4500),131.2
Kirk Cousins ($5700),Miles Sanders ($6300),Tarik Cohen ($4900),Michael Thomas ($9000),Adam Thielen ($6700),Tyler Lockett ($6500),Irv Smith Jr. ($3100),Chargers ($2800),Allen Lazard ($4900),131.2
Jimmy Garoppolo ($5800),Alvin Kamara ($7200),Ronald Jones II ($5200),Michael Thomas ($9000),Chris Godwin ($7100),Allen Lazard ($4900),Jack Doyle ($3600),Patriots ($3200),Ryan Nall ($4000),131.2
Joe Burrow ($5800),Alvin Kamara ($7200),Austin Ekeler ($7000),Odell Beckham Jr. ($5900),Marquise Brown ($5100),DeSean Jackson ($4900),Hunter Henry ($5300),Cardinals ($2100),Joe Mixon ($6700),131.2
Matt Ryan ($6700),Christian McCaffrey ($10000),Matt Breida ($5000),Adam Thielen ($6700),Julian Edelman ($6000),DeVante Parker ($6000),Mike Gesicki ($4500),Jets ($2100),Chris Thompson ($3000),131.2
Tyrod Taylor ($5600),Christian McCaffrey ($10000),Antonio Gibson ($4000),DK Metcalf ($5800),T.Y. Hilton ($5800),Henry Ruggs III ($5100),Darren Waller ($5900),Patriots ($3200),Curtis Samuel ($4600),131.2
Dwayne Haskins Jr. ($5000),Christian McCaffrey ($10000),Alvin Kamara ($7200),Odell Beckham Jr. ($5900),DeSean Jackson ($4900),Steven Sims Jr. ($4700),Mark Andrews ($6000),Dolphins ($2000),Greg Ward ($4200),131.1
Lamar Jackson ($8100),Miles Sanders ($6300),Mark Ingram II ($5500),Tyler Lockett ($6500),Terry McLaurin ($5600),Robby Anderson ($4700),Mark Andrews ($6000),Patriots ($3200),Miles Boykin ($4100),131.1
Tom Brady ($6500),Alvin Kamara ($7200),Austin Ekeler ($7000),Chris Godwin ($7100),Kenny Golladay ($6200),Odell Beckham Jr. ($5900),Logan Thomas ($2800),Patriots ($3200),Scotty Miller ($4000),131.1
Lamar Jackson ($8100),Alvin Kamara ($7200),Josh Jacobs ($6800),Michael Thomas ($9000),Marquise Brown ($5100),DeSean Jackson ($4900),Charles Scarff ($2500),Falcons ($2300),Miles Boykin ($4100),131.1
Lamar Jackson ($8100),Christian McCaffrey ($10000),J.K. Dobbins ($5000),Davante Adams ($7300),Jarvis Landry ($5900),DeSean Jackson ($4900),Nick Boyle ($3300),Seahawks ($2400),Chris Thompson ($3000),131.1
Tom Brady ($6500),Alvin Kamara ($7200),Kerryon Johnson ($4400),Michael Thomas ($9000),Mike Evans ($6900),Adam Thielen ($6700),Jack Doyle ($3600),Falcons ($2300),Cordarrelle Patterson ($3400),131.1
Lamar Jackson ($8100),Alvin Kamara ($7200),Ronald Jones II ($5200),Michael Thomas ($9000),Adam Thielen ($6700),Scotty Miller ($4000),Ian Thomas ($3400),Colts ($3000),Dontrelle Inman ($3400),131.1
Matthew Stafford ($6200),Christian McCaffrey ($10000),Alvin Kamara ($7200),Adam Thielen ($6700),Kenny Golladay ($6200),Anthony Miller ($5000),Mo Alie-Cox ($2600),Seahawks ($2400),Ted Ginn Jr. ($3700),131
Kyler Murray ($6400),Christian McCaffrey ($10000),Jerick McKinnon ($4000),Kenny Golladay ($6200),DK Metcalf ($5800),Marquise Brown ($5100),George Kittle ($7200),Jaguars ($2300),Chris Thompson ($3000),131
Cam Newton ($6100),Joe Mixon ($6700),Todd Gurley II ($6100),Adam Thielen ($6700),T.Y. Hilton ($5800),N'Keal Harry ($4400),Mike Gesicki ($4500),Eagles ($3600),James White ($6000),131
Lamar Jackson ($8100),Joe Mixon ($6700),Matt Breida ($5000),Julian Edelman ($6000),DeVante Parker ($6000),DeSean Jackson ($4900),Mark Andrews ($6000),Lions ($2700),Preston Williams ($4500),131
Philip Rivers ($6000),Dalvin Cook ($7900),Joe Mixon ($6700),Chris Godwin ($7100),DK Metcalf ($5800),T.Y. Hilton ($5800),Jack Doyle ($3600),Patriots ($3200),Keelan Cole ($3800),131
Lamar Jackson ($8100),Dalvin Cook ($7900),J.K. Dobbins ($5000),Chris Godwin ($7100),Tyler Lockett ($6500),Marquise Brown ($5100),Nick Boyle ($3300),Jets ($2100),Tarik Cohen ($4900),131
Aaron Rodgers ($6300),Christian McCaffrey ($10000),Josh Jacobs ($6800),Kenny Golladay ($6200),Terry McLaurin ($5600),Allen Lazard ($4900),Irv Smith Jr. ($3100),Colts ($3000),Olabisi Johnson ($4100),131
Cam Newton ($6100),Dalvin Cook ($7900),Miles Sanders ($6300),Davante Adams ($7300),Mike Evans ($6900),Allen Lazard ($4900),Ian Thomas ($3400),Colts ($3000),Marquez Valdes-Scantling ($4100),131
Josh Allen ($6500),Dalvin Cook ($7900),Ronald Jones II ($5200),Davante Adams ($7300),Adam Thielen ($6700),Tyler Lockett ($6500),Kyle Rudolph ($3700),Cardinals ($2100),Parris Campbell ($3900),131
Kirk Cousins ($5700),Dalvin Cook ($7900),Josh Jacobs ($6800),Davante Adams ($7300),Marquise Brown ($5100),Olabisi Johnson ($4100),Dallas Goedert ($4100),Chargers ($2800),Chris Carson ($6200),131
Matthew Stafford ($6200),Dalvin Cook ($7900),Alvin Kamara ($7200),Michael Thomas ($9000),Marvin Jones Jr. ($5500),Allen Lazard ($4900),Irv Smith Jr. ($3100),Dolphins ($2000),Olabisi Johnson ($4100),131
Tyrod Taylor ($5600),Christian McCaffrey ($10000),Joe Mixon ($6700),Keenan Allen ($6400),DK Metcalf ($5800),Jalen Guyton ($3000),Dallas Goedert ($4100),Jets ($2100),Miles Sanders ($6300),131
Carson Wentz ($6300),Dalvin Cook ($7900),Miles Sanders ($6300),Mike Evans ($6900),Terry McLaurin ($5600),Greg Ward ($4200),Zach Ertz ($5800),Cardinals ($2100),Tarik Cohen ($4900),131
Russell Wilson ($7000),Dalvin Cook ($7900),Miles Sanders ($6300),Julio Jones ($7700),Calvin Ridley ($6100),DeSean Jackson ($4900),Ian Thomas ($3400),Saints ($2400),Russell Gage ($4300),131
Carson Wentz ($6300),Christian McCaffrey ($10000),Dalvin Cook ($7900),Henry Ruggs III ($5100),Robby Anderson ($4700),Curtis Samuel ($4600),Mark Andrews ($6000),Seahawks ($2400),Chris Thompson ($3000),131
Matthew Stafford ($6200),Tevin Coleman ($4200),Antonio Gibson ($4000),Michael Thomas ($9000),Allen Robinson II ($6500),Kenny Golladay ($6200),Zach Ertz ($5800),Raiders ($2600),Marvin Jones Jr. ($5500),131
Cam Newton ($6100),Dalvin Cook ($7900),Jerick McKinnon ($4000),Chris Godwin ($7100),DeAndre Hopkins ($6800),T.Y. Hilton ($5800),George Kittle ($7200),Jets ($2100),Chris Thompson ($3000),130.9
Tyrod Taylor ($5600),Christian McCaffrey ($10000),Antonio Gibson ($4000),Allen Robinson II ($6500),Kenny Golladay ($6200),Anthony Miller ($5000),George Kittle ($7200),Jets ($2100),Cordarrelle Patterson ($3400),130.9
Drew Brees ($6800),Dalvin Cook ($7900),Ronald Jones II ($5200),Michael Thomas ($9000),DeSean Jackson ($4900),Tre'Quan Smith ($4000),Mark Andrews ($6000),Chargers ($2800),Dontrelle Inman ($3400),130.9
Tyrod Taylor ($5600),Alvin Kamara ($7200),Ronald Jones II ($5200),Mike Evans ($6900),Adam Thielen ($6700),Kenny Golladay ($6200),Jared Cook ($5500),Jaguars ($2300),N'Keal Harry ($4400),130.9
Tom Brady ($6500),Josh Jacobs ($6800),Todd Gurley II ($6100),Michael Thomas ($9000),Chris Godwin ($7100),Larry Fitzgerald ($4500),Logan Thomas ($2800),Dolphins ($2000),Ronald Jones II ($5200),130.9
Mitchell Trubisky ($5400),Alvin Kamara ($7200),Ronald Jones II ($5200),Michael Thomas ($9000),Tyler Lockett ($6500),DeSean Jackson ($4900),O.J. Howard ($3700),Bills ($3700),N'Keal Harry ($4400),130.9
Lamar Jackson ($8100),Joe Mixon ($6700),Antonio Gibson ($4000),Michael Thomas ($9000),Odell Beckham Jr. ($5900),Jarvis Landry ($5900),Charles Scarff ($2500),Jets ($2100),T.Y. Hilton ($5800),130.9
Matt Ryan ($6700),Alvin Kamara ($7200),Chris Carson ($6200),Davante Adams ($7300),Odell Beckham Jr. ($5900),DK Metcalf ($5800),Hayden Hurst ($4300),Jaguars ($2300),Russell Gage ($4300),130.9
Tom Brady ($6500),Christian McCaffrey ($10000),Alvin Kamara ($7200),DJ Moore ($6600),DK Metcalf ($5800),Curtis Samuel ($4600),Mo Alie-Cox ($2600),Cardinals ($2100),Hunter Renfrow ($4500),130.9
Tom Brady ($6500),Christian McCaffrey ($10000),Ronald Jones II ($5200),Chris Godwin ($7100),Kenny Golladay ($6200),DeSean Jackson ($4900),Josh Hill ($2800),Chargers ($2800),Preston Williams ($4500),130.9
Russell Wilson ($7000),Alvin Kamara ($7200),Chris Carson ($6200),Julio Jones ($7700),DK Metcalf ($5800),T.Y. Hilton ($5800),Will Dissly ($3400),Dolphins ($2000),Allen Lazard ($4900),130.8
Aaron Rodgers ($6300),Ronald Jones II ($5200),Tevin Coleman ($4200),Michael Thomas ($9000),Davante Adams ($7300),Adam Thielen ($6700),Irv Smith Jr. ($3100),Patriots ($3200),Christian Kirk ($5000),130.8
Lamar Jackson ($8100),Mark Ingram II ($5500),J.K. Dobbins ($5000),Michael Thomas ($9000),Mike Evans ($6900),Parris Campbell ($3900),Mark Andrews ($6000),Raiders ($2600),Chris Thompson ($3000),130.8
Philip Rivers ($6000),Christian McCaffrey ($10000),Miles Sanders ($6300),Davante Adams ($7300),Calvin Ridley ($6100),Keelan Cole ($3800),Tyler Eifert ($3300),Patriots ($3200),Chris Thompson ($4000),130.8
Tom Brady ($6500),Alvin Kamara ($7200),Ryan Nall ($4000),Michael Thomas ($9000),Odell Beckham Jr. ($5900),DK Metcalf ($5800),Rob Gronkowski ($4900),Dolphins ($2000),Robby Anderson ($4700),130.7
Mitchell Trubisky ($5400),Austin Ekeler ($7000),Miles Sanders ($6300),Allen Robinson II ($6500),Kenny Golladay ($6200),T.Y. Hilton ($5800),Mark Andrews ($6000),Dolphins ($2000),Danny Amendola ($4800),130.7
Lamar Jackson ($8100),Dalvin Cook ($7900),Todd Gurley II ($6100),Davante Adams ($7300),Robby Anderson ($4700),Curtis Samuel ($4600),Ian Thomas ($3400),Eagles ($3600),Bryan Edwards ($4200),130.7
Tyrod Taylor ($5600),Christian McCaffrey ($10000),Joe Mixon ($6700),A.J. Green ($5700),Terry McLaurin ($5600),Dontrelle Inman ($3400),Hunter Henry ($5300),Dolphins ($2000),Jonathan Taylor ($5700),130.7
Aaron Rodgers ($6300),Joe Mixon ($6700),Jonathan Taylor ($5700),Michael Thomas ($9000),Adam Thielen ($6700),Calvin Ridley ($6100),Robert Tonyan ($2500),Jets ($2100),Allen Lazard ($4900),130.7
Josh Allen ($6500),Alvin Kamara ($7200),Ronald Jones II ($5200),Michael Thomas ($9000),Calvin Ridley ($6100),Chris Thompson ($3000),Jared Cook ($5500),Raiders ($2600),Tarik Cohen ($4900),130.7
