QB,RB,RB,WR,WR,WR,TE,DST,FLEX,Proj
Tyrod Taylor ($5600),Christian McCaffrey ($10000),Dalvin Cook ($7900),Davante Adams ($7300),Terry McLaurin ($5600),N'Keal Harry ($4400),Irv Smith Jr. ($3100),Lions ($2700),Dontrelle Inman ($3400),138.1
Cam Newton ($6100),Alvin Kamara ($7200),Joe Mixon ($6700),DeVante Parker ($6000),T.Y. Hilton ($5800),Marquise Brown ($5100),Mark Andrews ($6000),Raiders ($2600),N'Keal Harry ($4400),138.1
Lamar Jackson ($8100),Miles Sanders ($6300),J.K. Dobbins ($5000),Tyler Lockett ($6500),Terry McLaurin ($5600),Marvin Jones Jr. ($5500),Zach Ertz ($5800),Jets ($2100),Marquise Brown ($5100),138
Cam Newton ($6100),Alvin Kamara ($7200),Joe Mixon ($6700),Michael Thomas ($9000),Adam Thielen ($6700),DeSean Jackson ($4900),Logan Thomas ($2800),Ravens ($3100),Dontrelle Inman ($3400),138
Josh Allen ($6500),Dalvin Cook ($7900),Miles Sanders ($6300),Davante Adams ($7300),Adam Thielen ($6700),DK Metcalf ($5800),Chris Herndon ($3300),Chargers ($2800),Dontrelle Inman ($3400),138
Tom Brady ($6500),Alvin Kamara ($7200),Todd Gurley II ($6100),Davante Adams ($7300),Odell Beckham Jr. ($5900),Marquise Brown ($5100),Mark Andrews ($6000),WAS Football Team ($2000),Parris Campbell ($3900),137.9
Jimmy Garoppolo ($5800),Alvin Kamara ($7200),Miles Sanders ($6300),Mike Evans ($6900),Tyler Lockett ($6500),Terry McLaurin ($5600),Dallas Goedert ($4100),Raiders ($2600),DeSean Jackson ($4900),137.9
Lamar Jackson ($8100),Josh Jacobs ($6800),J.K. Dobbins ($5000),Calvin Ridley ($6100),T.Y. Hilton ($5800),Terry McLaurin ($5600),Mark Andrews ($6000),Lions ($2700),Parris Campbell ($3900),137.8
Tom Brady ($6500),Alvin Kamara ($7200),Chris Carson ($6200),Davante Adams ($7300),Chris Godwin ($7100),DK Metcalf ($5800),Logan Thomas ($2800),Jets ($2100),DeSean Jackson ($4900),137.8
Matthew Stafford ($6200),Christian McCaffrey ($10000),Miles Sanders ($6300),Adam Thielen ($6700),Kenny Golladay ($6200),T.Y. Hilton ($5800),Ian Thomas ($3400),Dolphins ($2000),Cordarrelle Patterson ($3400),137.8
