QB,RB,RB,WR,WR,WR,TE,DST,FLEX,PROJ,ACTUAL
Nick Foles,Alvin Kamara,Le'Veon Bell,Michael Thomas,D.J. Chark,Chris Conley,Mike Gesicki,Cincinnati Bengals,Sony Michel,130.99,124.98
Tom Brady,Alvin Kamara,Devin Singletary,Michael Thomas,Mike Evans,Jakobi Meyers,Jason Witten,Detroit Lions,Bo Scarbrough,130.95,113.7
Matt Ryan,Alvin Kamara,Leonard Fournette,Chris Godwin,D.J. Chark,Devante Parker,Cameron Brate,Denver Broncos,Tim Patrick,130.91,137.34
Matt Ryan,Kalen Ballage,Bo Scarbrough,Michael Thomas,Odell Beckham Jr,Jarvis Landry,Jason Witten,Buffalo Bills,Devante Parker,130.85,140.94
Matt Ryan,Nick Chubb,Derrick Henry,Michael Thomas,Jarvis Landry,Albert Wilson,Dallas Goedert,Denver Broncos,Mike Gesicki,130.83,174.14
Matt Ryan,Phillip Lindsay,Sony Michel,Michael Thomas,D.J. Moore,Demaryius Thomas,Zach Ertz,Buffalo Bills,Jared Cook,130.8,155.64
Matt Ryan,Derrick Henry,Le'Veon Bell,Mike Evans,Jamison Crowder,Russell Gage,Mike Gesicki,Chicago Bears,David Montgomery,130.77,107.24
Matt Ryan,Chris Carson,Devin Singletary,Michael Thomas,Mike Evans,Devante Parker,OJ Howard,Miami Dolphins,Chris Conley,130.73,97.84
Ryan Tannehill,Alvin Kamara,James White,Michael Thomas,D.J. Chark,Dede Westbrook,Darren Waller,Tampa Bay Buccaneers,Tim Patrick,130.72,132.66
Russell Wilson,Derrick Henry,Le'Veon Bell,Michael Thomas,Mike Evans,Jordan Matthews,Noah Fant,Cincinnati Bengals,Dallas Goedert,130.7,123.2
Matt Ryan,Alvin Kamara,David Montgomery,Julio Jones,Julian Edelman,Demaryius Thomas,Cameron Brate,Seattle Seahawks,Sony Michel,130.69,92.74
Jeff Driskel,Alvin Kamara,Le'Veon Bell,Michael Thomas,Tyler Boyd,Ted Ginn,Greg Olsen,Detroit Lions,Kalen Ballage,130.67,129.58
Ryan Fitzpatrick,Leonard Fournette,David Montgomery,Michael Thomas,Mike Evans,Russell Gage,Cameron Brate,Detroit Lions,Brian Hill,130.63,134.46
Baker Mayfield,Alvin Kamara,Chris Carson,Julio Jones,Devante Parker,Allen Hurns,Zach Ertz,Chicago Bears,Tim Patrick,130.62,129.98
Jameis Winston,Saquon Barkley,Brian Hill,Michael Thomas,Odell Beckham Jr,Devante Parker,Dallas Goedert,Philadelphia Eagles,Allen Hurns,130.59,142.02
Ryan Fitzpatrick,James White,Miles Sanders,Michael Thomas,Julio Jones,Jarvis Landry,Benjamin Watson,Jacksonville Jaguars,Devante Parker,130.51,134.36
Baker Mayfield,Le'Veon Bell,Phillip Lindsay,Michael Thomas,Julian Edelman,Jarvis Landry,Vance McDonald,Detroit Lions,Allen Hurns,130.5,160.68
Sam Darnold,Alvin Kamara,Phillip Lindsay,Michael Thomas,Julio Jones,Demaryius Thomas,Ryan Griffin,Miami Dolphins,Jason Witten,130.48,114.1
Matt Ryan,Alvin Kamara,Derrick Henry,Michael Thomas,Curtis Samuel,Taylor Gabriel,Greg Olsen,Miami Dolphins,Dawson Knox,130.45,110.74
Jameis Winston,Devin Singletary,Sony Michel,Michael Thomas,Julio Jones,Calvin Ridley,Jason Witten,Cincinnati Bengals,Taylor Gabriel,130.38,126.52
Dak Prescott,Chris Carson,Le'Veon Bell,Michael Thomas,Calvin Ridley,Devante Parker,Jason Witten,Detroit Lions,N'Keal Harry,130.38,117.08
Matt Ryan,Nick Chubb,James White,Mike Evans,Chris Godwin,Devante Parker,Dallas Goedert,Seattle Seahawks,Demaryius Thomas,130.36,133.84
Sam Darnold,Alvin Kamara,Devin Singletary,Michael Thomas,Jamison Crowder,Allen Hurns,Darren Waller,Denver Broncos,Dallas Goedert,130.36,133.2
Jeff Driskel,James White,Sony Michel,Michael Thomas,Julio Jones,Chris Godwin,Tyler Eifert,Detroit Lions,Russell Gage,130.35,131.58
Tom Brady,Alvin Kamara,Leonard Fournette,Michael Thomas,Devante Parker,Taylor Gabriel,Benjamin Watson,Buffalo Bills,N'Keal Harry,130.33,135.5
Matt Ryan,Leonard Fournette,Brian Hill,Julio Jones,Mike Evans,Jamison Crowder,Dallas Goedert,Denver Broncos,Anthony Miller,130.31,103.74
Jameis Winston,James White,Miles Sanders,Michael Thomas,Chris Godwin,Calvin Ridley,Dallas Goedert,New Orleans Saints,Mike Gesicki,130.29,159.32
Jameis Winston,Alvin Kamara,Leonard Fournette,Mike Evans,Calvin Ridley,Devante Parker,Vance McDonald,Jacksonville Jaguars,Dawson Knox,130.28,136.72
Matt Ryan,Alvin Kamara,Derrick Henry,Mike Evans,Golden Tate,Anthony Miller,Zach Ertz,Cincinnati Bengals,Cameron Brate,130.27,129.44
Matt Ryan,Nick Chubb,Saquon Barkley,Michael Thomas,Russell Gage,Allen Hurns,Cameron Brate,Chicago Bears,Jason Witten,130.22,110.44
Jameis Winston,Alvin Kamara,Kalen Ballage,Michael Thomas,Allen Robinson,Golden Tate,Tyler Eifert,Denver Broncos,Taylor Gabriel,130.2,130.22
Matt Ryan,Saquon Barkley,Leonard Fournette,Michael Thomas,Tyler Boyd,Tim Patrick,Jared Cook,Cincinnati Bengals,Greg Olsen,130.17,145.34
Nick Foles,Derrick Henry,Devin Singletary,Michael Thomas,D.J. Chark,Devante Parker,Dallas Goedert,Detroit Lions,Dede Westbrook,130.17,149.88
Matt Ryan,Alvin Kamara,Leonard Fournette,Allen Robinson,Sterling Shepard,Taylor Gabriel,Dallas Goedert,Cincinnati Bengals,Le'Veon Bell,130.16,136.44
Matt Ryan,Alvin Kamara,Le'Veon Bell,Odell Beckham Jr,Jarvis Landry,Albert Wilson,Vance McDonald,New Orleans Saints,James White,130.14,121.54
Matt Ryan,Devin Singletary,Sony Michel,Julio Jones,Odell Beckham Jr,D.J. Chark,Mike Gesicki,New Orleans Saints,Devante Parker,130.12,108.44
Russell Wilson,David Montgomery,Sony Michel,Michael Thomas,Julio Jones,Allen Hurns,Zach Ertz,Tampa Bay Buccaneers,Jacob Hollister,130.11,127.5
Matt Ryan,Derrick Henry,Le'Veon Bell,Michael Thomas,Diontae Johnson,James Washington,Tyler Eifert,Philadelphia Eagles,Miles Sanders,130.08,136.04
Baker Mayfield,Miles Sanders,Kalen Ballage,Michael Thomas,Julio Jones,Mike Evans,Jonnu Smith,Philadelphia Eagles,Russell Gage,130.06,119.68
Matt Ryan,Saquon Barkley,James White,Michael Thomas,Julian Edelman,Randall Cobb,Vance McDonald,Tampa Bay Buccaneers,N'Keal Harry,130.05,102.64
Drew Brees,Le'Veon Bell,Kareem Hunt,Michael Thomas,Julio Jones,Tim Patrick,Greg Olsen,Denver Broncos,Sony Michel,130.0,118.94
Matt Ryan,Derrick Henry,David Montgomery,Michael Thomas,D.J. Chark,Chris Conley,Noah Fant,New England Patriots,Adam Humphries,129.96,113.44
Ryan Fitzpatrick,Alvin Kamara,Derrick Henry,Mike Evans,Julian Edelman,Devante Parker,Mike Gesicki,Philadelphia Eagles,Sony Michel,129.95,149.46
Jeff Driskel,Alvin Kamara,David Montgomery,Michael Thomas,Mike Evans,Danny Amendola,Noah Fant,Philadelphia Eagles,T.J. Hockenson,129.92,98.48
