QB,RB,RB,WR,WR,WR,TE,DST,FLEX,PROJ,ACTUAL
Russell Wilson,Austin Ekeler,Marlon Mack,Tyler Lockett,Larry Fitzgerald,Curtis Samuel,Evan Engram,Houston Texans,Will Fuller,140.79,97.2
Patrick Mahomes,Austin Ekeler,David Johnson,Demarcus Robinson,Calvin Ridley,Mohamed Sanu,Darren Waller,Los Angeles Chargers,Austin Hooper,140.79,152.2
Philip Rivers,Phillip Lindsay,Chris Thompson,Keenan Allen,Marvin Jones,Demarcus Robinson,Travis Kelce,Los Angeles Chargers,Will Fuller,140.73,100.2
Patrick Mahomes,Christian McCaffrey,Kenyan Drake,Cooper Kupp,Brandin Cooks,Marvin Jones,Austin Hooper,Los Angeles Chargers,T.J. Hockenson,140.73,166.6
Case Keenum,Marlon Mack,Devonta Freeman,Keenan Allen,Sammy Watkins,Kenny Golladay,Evan Engram,Atlanta Falcons,Mecole Hardman,140.71,74.58
Kyler Murray,Nick Chubb,Devonta Freeman,Keenan Allen,Sterling Shepard,Larry Fitzgerald,Evan Engram,Washington Redskins,Christian Kirk,140.65,140.74
Matt Ryan,Marlon Mack,Phillip Lindsay,Julio Jones,Keenan Allen,Tyler Lockett,Delanie Walker,Seattle Seahawks,Dontrelle Inman,140.64,88.78
Lamar Jackson,David Montgomery,Devonta Freeman,Keenan Allen,Odell Beckham Jr,Paul Richardson,Evan Engram,Los Angeles Rams,Mark Andrews,140.61,100.88
Kyler Murray,Christian McCaffrey,Phillip Lindsay,Keenan Allen,Cooper Kupp,Brandin Cooks,Will Dissly,Atlanta Falcons,Keesean Johnson,140.47,133.64
Matt Ryan,Nick Chubb,Wayne Gallman,Keenan Allen,Sammy Watkins,Kenny Golladay,Delanie Walker,Los Angeles Chargers,Austin Hooper,140.47,169.08
Patrick Mahomes,Nick Chubb,Leonard Fournette,Sammy Watkins,Sterling Shepard,Trey Quinn,Travis Kelce,Los Angeles Chargers,Will Dissly,140.44,165.3
Daniel Jones,David Johnson,Phillip Lindsay,DeAndre Hopkins,Keenan Allen,Will Fuller,Evan Engram,Atlanta Falcons,Kenny Stills,140.43,80.2
Russell Wilson,Nick Chubb,Phillip Lindsay,DeAndre Hopkins,Keenan Allen,D.J. Moore,Will Dissly,Denver Broncos,D.K. Metcalf,140.25,114.2
Patrick Mahomes,Nick Chubb,Chris Carson,Keenan Allen,Sammy Watkins,Mecole Hardman,Vernon Davis,Chicago Bears,Paul Richardson,140.24,126.8
Patrick Mahomes,Christian McCaffrey,David Johnson,Keenan Allen,Corey Davis,Preston Williams,Delanie Walker,Miami Dolphins,Austin Hooper,140.23,141.7
Russell Wilson,Austin Ekeler,Phillip Lindsay,Tyler Lockett,Brandin Cooks,Chris Godwin,Darren Waller,Chicago Bears,Will Dissly,140.22,164.9
Russell Wilson,Kerryon Johnson,Chris Thompson,Keenan Allen,Mike Evans,Tyler Lockett,OJ Howard,Denver Broncos,Robert Woods,140.12,125.5
Daniel Jones,Austin Ekeler,Kerryon Johnson,Tyler Lockett,Sterling Shepard,Christian Kirk,Evan Engram,Baltimore Ravens,Darren Waller,140.11,118.2
Matt Ryan,Marlon Mack,Leonard Fournette,Keenan Allen,Calvin Ridley,Mohamed Sanu,Travis Kelce,Los Angeles Chargers,Preston Williams,140.11,122.28
Russell Wilson,Austin Ekeler,Wayne Gallman,Odell Beckham Jr,Christian Kirk,D.K. Metcalf,Darren Waller,Los Angeles Chargers,Chris Thompson,140.09,119.5
Jared Goff,Leonard Fournette,Chris Thompson,Keenan Allen,Mike Evans,Cooper Kupp,Greg Olsen,Houston Texans,Curtis Samuel,140.09,144.58
Philip Rivers,Chris Carson,Wayne Gallman,DeAndre Hopkins,Keenan Allen,D.J. Moore,Greg Olsen,Los Angeles Chargers,Courtland Sutton,140.06,136.7
Russell Wilson,Christian McCaffrey,Leonard Fournette,Keenan Allen,Kenny Golladay,Mecole Hardman,T.J. Hockenson,Seattle Seahawks,Preston Williams,140.04,149.4
Jared Goff,Christian McCaffrey,Marlon Mack,Keenan Allen,Brandin Cooks,Chris Godwin,Noah Fant,Chicago Bears,Dontrelle Inman,140.04,173.28
Kyler Murray,Christian McCaffrey,Wayne Gallman,Keenan Allen,Tyler Lockett,Christian Kirk,Austin Hooper,Tampa Bay Buccaneers,Calvin Ridley,140.01,153.44
Case Keenum,David Johnson,Kerryon Johnson,Keenan Allen,Brandin Cooks,Chris Godwin,Evan Engram,Los Angeles Rams,OJ Howard,139.98,130.88
Matthew Stafford,Christian McCaffrey,David Johnson,Keenan Allen,Mecole Hardman,Paul Richardson,Travis Kelce,Carolina Panthers,Trey Quinn,139.93,128.84
Case Keenum,David Johnson,Leonard Fournette,Keenan Allen,Cooper Kupp,Sterling Shepard,Vernon Davis,Chicago Bears,Phillip Lindsay,139.91,133.98
Lamar Jackson,Wayne Gallman,Carlos Hyde,Keenan Allen,Odell Beckham Jr,Jarvis Landry,Travis Kelce,Los Angeles Chargers,Dontrelle Inman,139.9,146.28
Patrick Mahomes,David Montgomery,Phillip Lindsay,DeAndre Hopkins,Keenan Allen,Marvin Jones,Greg Olsen,Miami Dolphins,Mecole Hardman,139.78,70.7
Daniel Jones,Christian McCaffrey,Marlon Mack,Odell Beckham Jr,Tyler Lockett,Christian Kirk,Will Dissly,Los Angeles Chargers,Paul Richardson,139.77,107.6
Deshaun Watson,Leonard Fournette,Chris Carson,Keenan Allen,Brandin Cooks,Chris Godwin,Greg Olsen,Minnesota Vikings,Will Fuller,139.75,140.5
Daniel Jones,Marlon Mack,LeSean McCoy,Keenan Allen,Odell Beckham Jr,Marquise Brown,Evan Engram,Chicago Bears,Trey Quinn,139.72,84.5
Patrick Mahomes,Austin Ekeler,Leonard Fournette,Kenny Golladay,Curtis Samuel,Corey Davis,Travis Kelce,Carolina Panthers,Austin Hooper,139.65,184.3
Jared Goff,Derrick Henry,Devonta Freeman,Keenan Allen,Mike Evans,Brandin Cooks,Will Dissly,Los Angeles Chargers,Paul Richardson,139.57,136.38
Russell Wilson,Derrick Henry,Devonta Freeman,Keenan Allen,Odell Beckham Jr,D.J. Moore,Greg Olsen,Chicago Bears,Will Fuller,139.49,93.1
Jared Goff,David Johnson,Wayne Gallman,Keenan Allen,Cooper Kupp,Chris Godwin,Darren Waller,Atlanta Falcons,Eric Ebron,139.47,186.38
Patrick Mahomes,Marlon Mack,Leonard Fournette,Keenan Allen,Kenny Golladay,Marquise Brown,Demetrius Harris,Baltimore Ravens,Jarvis Landry,139.44,120.8
Russell Wilson,David Montgomery,Josh Jacobs,Julio Jones,Keenan Allen,Tyler Lockett,Will Dissly,Baltimore Ravens,Calvin Ridley,139.19,88.9
Case Keenum,Christian McCaffrey,Marlon Mack,Keenan Allen,Cooper Kupp,Robert Woods,OJ Howard,Arizona Cardinals,Paul Richardson,139.15,125.08
Kyler Murray,Kerryon Johnson,Phillip Lindsay,Keenan Allen,Odell Beckham Jr,Christian Kirk,Mark Andrews,Chicago Bears,D.K. Metcalf,139.14,97.84
Patrick Mahomes,Christian McCaffrey,Wayne Gallman,Sammy Watkins,Courtland Sutton,Dontrelle Inman,Travis Kelce,Indianapolis Colts,Chris Thompson,139.1,156.4
Deshaun Watson,Austin Ekeler,Leonard Fournette,Cooper Kupp,Larry Fitzgerald,Christian Kirk,Will Dissly,Minnesota Vikings,Phillip Lindsay,139.0,146.9
Matt Ryan,Christian McCaffrey,Austin Ekeler,Tyler Lockett,Corey Davis,Trey Quinn,Evan Engram,Los Angeles Chargers,Austin Hooper,139.0,160.38
Patrick Mahomes,Phillip Lindsay,Kenyan Drake,Odell Beckham Jr,Sammy Watkins,Tyler Lockett,Will Dissly,Seattle Seahawks,Kenny Golladay,138.99,117.2
Patrick Mahomes,Wayne Gallman,Kenyan Drake,Robert Woods,Chris Godwin,Kenny Golladay,Travis Kelce,Los Angeles Chargers,Will Fuller,138.97,192.2
Lamar Jackson,David Johnson,Chris Thompson,Keenan Allen,Robert Woods,Chris Godwin,Demetrius Harris,Los Angeles Chargers,Marquise Brown,138.95,161.98
Russell Wilson,Austin Ekeler,Devonta Freeman,Sammy Watkins,Cooper Kupp,Tyler Lockett,T.J. Hockenson,Denver Broncos,Christian Kirk,138.93,132.9
Jameis Winston,Christian McCaffrey,Wayne Gallman,Keenan Allen,Mike Evans,Cooper Kupp,T.J. Hockenson,Minnesota Vikings,Dontrelle Inman,138.92,180.9
Patrick Mahomes,Todd Gurley,Josh Jacobs,Keenan Allen,Sammy Watkins,Demarcus Robinson,Austin Hooper,Seattle Seahawks,Dontrelle Inman,138.92,138.1
Patrick Mahomes,Marlon Mack,James White,Keenan Allen,Mike Evans,Cooper Kupp,Mike Gesicki,Chicago Bears,Preston Williams,138.92,122.9
Philip Rivers,Christian McCaffrey,Derrick Henry,Keenan Allen,Larry Fitzgerald,Christian Kirk,T.J. Hockenson,Los Angeles Chargers,Keesean Johnson,138.91,126.5
Patrick Mahomes,Marlon Mack,Chris Thompson,Julio Jones,Kenny Golladay,Calvin Ridley,Delanie Walker,Los Angeles Chargers,Curtis Samuel,138.87,92.8
Deshaun Watson,Josh Jacobs,Chris Thompson,Keenan Allen,Kenny Golladay,Mecole Hardman,Travis Kelce,Los Angeles Rams,Curtis Samuel,138.85,98.6
Matthew Stafford,Marlon Mack,Chris Carson,Keenan Allen,Robert Woods,Marvin Jones,Travis Kelce,Indianapolis Colts,Dontrelle Inman,138.72,133.84
Patrick Mahomes,David Johnson,James White,Marvin Jones,Curtis Samuel,Will Fuller,Travis Kelce,Chicago Bears,Evan Engram,138.7,120.9
Matt Ryan,Wayne Gallman,Chris Thompson,Julio Jones,Keenan Allen,Odell Beckham Jr,Greg Olsen,Indianapolis Colts,Calvin Ridley,138.65,93.28
Kyler Murray,Marlon Mack,LeSean McCoy,DeAndre Hopkins,Keenan Allen,Larry Fitzgerald,Will Dissly,Seattle Seahawks,Will Fuller,138.62,105.74
Lamar Jackson,Marlon Mack,Chris Thompson,Keenan Allen,Cooper Kupp,Brandin Cooks,Mark Andrews,Tampa Bay Buccaneers,Jarvis Landry,138.6,148.98
Deshaun Watson,Todd Gurley,Nick Chubb,Keenan Allen,D.J. Moore,Will Fuller,Evan Engram,Houston Texans,Paul Richardson,138.59,127.2
Russell Wilson,Austin Ekeler,Leonard Fournette,Mike Evans,Sterling Shepard,D.K. Metcalf,Evan Engram,Atlanta Falcons,Will Dissly,138.57,138.5
Daniel Jones,Austin Ekeler,Nick Chubb,Cooper Kupp,Robert Woods,Sterling Shepard,Austin Hooper,Los Angeles Chargers,Paul Richardson,138.53,205.4
Patrick Mahomes,Marlon Mack,Devonta Freeman,Tyler Lockett,Brandin Cooks,Mecole Hardman,Travis Kelce,Denver Broncos,Will Dissly,138.53,106.2
Lamar Jackson,Kerryon Johnson,Kenyan Drake,Odell Beckham Jr,Tyler Lockett,Larry Fitzgerald,Evan Engram,Los Angeles Chargers,D.K. Metcalf,138.5,101.28
